Cities,Latitude,Longitude,Recovery Toll,Death Toll,Total Cases
Lahore,31.5204,74.3587,214325,5076,222246
Rawalpindi,33.5651,73.0169,36313,2046,38527
Faislabad,31.4504,73.135,24739,1274,26257
Multan,30.1575,71.5249,21199,897,22313
Sargodha,32.074,72.6861,10539,364,11052
Gujranwala,32.1877,74.1945,9504,611,10238
Bahawalpur,29.3544,71.6911,9630,268,10021
Sialkot,32.4945,74.5229,8354,247,8742
Rahim Yar Khan,28.4212,70.2989,7729,290,8094
Gujrat,32.5731,74.1005,7769,115,7978
Dera Ghazi Khan,30.0489,70.6455,4829,204,5138
Sheikhupura,31.7167,73.985,4594,171,4915
Sahiwal,30.6682,73.1114,4139,107,4395
Toba Tek Singh,30.9709,72.4826,4085,137,4369
Okara,30.8138,73.4534,3839,41,4000
Jhang,31.2781,72.3317,3690,26,3739
Vehari,30.0442,72.3441,3071,16,3201
Muzaffargarh,30.0736,71.1805,2504,394,3049
Mianwali,32.5839,71.537,2719,137,2999
Kasur,31.1179,74.4408,2839,18,2969
Khanewal,30.2864,71.932,2749,7,2873
Jhelum,32.9425,73.7257,2689,58,2855
Nankana Sahib,31.4492,73.7125,2704,23,2855
Bhakkar,31.6082,71.0854,2604,52,2782
Chiniot,31.7292,72.9822,2554,71,2724
Khushab,32.2955,72.3489,2439,78,2581
Pakpattan,30.3573,73.3827,2304,22,2496
Hafizabad,32.0712,73.6895,2254,25,2374
Mandi Bahauddin,32.5742,73.4828,2239,22,2371
Bahawalnagar,30.0025,73.2412,2139,29,2279
Layyah,30.9693,70.9428,2054,17,2189
Chakwal,32.9328,72.863,1754,5,1869
Lodhran,29.5467,71.6276,1654,33,1805
Attock,33.766,72.3609,1504,35,1637
Rajanpur,29.1044,70.3301,1324,7,1467
Narowal,32.1014,74.88,1054,3,1099
